00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000011 // value = 1 , flag = 1
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000010 // value = 1 , flag = 0
00000000010 // value = 1 , flag = 0
00000000010 // value = 1 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000011 // value = 1 , flag = 1
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
00000000010 // value = 1 , flag = 0
00000000000 // value = 0 , flag = 0
